exper,incent,ticket,member,earning fm,depend,work,Graduate,LC
0,8000,25000,5,0,2,0,0,6083
1,8000,2000000,3,1,4,1,1,6319
6,5000,350000,3,0,3,1,0.43,6010
3,15000,25000,5,1,5,1,1,6014
2,5000,125000,1,0,2,1,0.43,6209
13,15000,125000,3,1,3,1,1,6046
0,15000,1200000,3,0,1,0,0,6023
0,15000,1200000,3,0,0,0,0,6225
3,5000,1000000,5,0,5,1,1,6059
2,5000,1000000,5,2,2,1,0.43,2105
2,15000,2000000,3,1,2,1,0.43,6014
40,8000,1000000,3,0,4,1,1,6165
3,8000,125000,3,1,2,1,0.43,6369
0,8000,1200000,5,0,1,0,0,6525
6,8000,125000,3,0,4,1,1,6164
0,8000,1200000,3,0,1,0,0,6043
7.291666667,15000,1200000,3,0,0,1,1,6299
3.3,15000,1200000,5,0,2,1,1,6113
2,2000,350000,3,2,2,1,0.08,6412
2,2000,350000,3,1,3,1,0.43,6212
3,5000,350000,5,1,4,1,1,6059
2,0,1000000,3,1,3,1,0.43,6255
8.125,15000,1200000,3,0,3,1,1,6113
11.83333333,15000,1200000,5,0,7,1,0.43,6261
4,15000,25000,3,1,3,1,1,6073
1,15000,2000000,3,2,1,1,0.43,2241
5,0,350000,3,1,3,1,1,2241
2.8,5000,25000,3,1,3,1,0.43,6466
3,8000,2000000,1,2,1,1,0.43,6058
5,8000,1000000,5,0,5,1,1,6059
3,5000,2000000,3,2,3,1,0.43,6020
7,5000,1000000,0,3,4,1,1,6143
9,15000,0,5,1,4,1,0.43,6116
5,5000,125000,5,5,2,1,0.43,6354
2,15000,1000000,5,0,4,1,0.43,6001
0,8000,750000,5,0,3,0,0,6299
6,15000,2000000,3,1,3,1,1,6256
1,2000,1000000,3,3,3,1,1,6150
0,8000,750000,5,0,4,0,0,6115
2,5000,2000000,1,1,1,1,1,6292
5,5000,125000,3,1,2,1,1,6417
7,15000,2000000,3,0,3,1,0.43,6055
3,8000,2000000,5,1,3,1,0.43,6296
10,15000,1000000,1,1,2,1,1,6283
