iter	Passed	Remaining
339	642	1247
340	644	1245
341	645	1242
342	647	1240
343	650	1240
344	652	1238
345	653	1235
346	654	1232
347	655	1229
348	657	1226
349	658	1223
350	660	1220
351	662	1218
352	665	1220
353	667	1217
354	668	1214
355	669	1211
356	671	1208
357	672	1206
358	674	1203
359	676	1202
360	679	1203
361	681	1200
362	682	1197
363	683	1194
364	684	1191
365	686	1188
366	687	1186
367	690	1185
368	693	1186
369	695	1184
370	696	1181
371	697	1178
372	699	1175
373	700	1172
374	701	1169
375	704	1168
376	707	1169
377	708	1166
378	710	1163
379	711	1160
380	712	1158
381	714	1155
382	715	1152
383	717	1151
384	720	1151
385	722	1149
386	723	1146
387	724	1143
388	726	1140
389	727	1138
390	729	1135
391	730	1133
392	733	1133
393	736	1132
394	737	1129
395	738	1126
396	739	1123
397	741	1121
398	743	1119
399	744	1116
400	747	1115
401	757	1127
402	759	1124
403	760	1122
404	764	1123
405	766	1120
406	767	1117
407	768	1115
408	770	1112
409	771	1110
410	772	1107
411	774	1105
412	777	1104
413	779	1102
414	780	1100
415	781	1097
416	783	1095
417	785	1093
418	786	1090
419	788	1088
420	791	1088
421	793	1086
422	795	1084
423	796	1081
424	797	1079
425	799	1076
426	800	1074
427	802	1072
428	805	1072
429	807	1069
430	808	1067
431	809	1064
432	811	1062
433	812	1059
434	813	1057
435	815	1055
436	819	1055
437	821	1053
438	823	1051
439	824	1049
440	826	1047
441	827	1044
442	828	1041
443	831	1041
444	834	1040
445	835	1038
446	837	1035
447	838	1033
448	839	1030
449	841	1028
450	842	1025
451	845	1025
452	848	1024
453	849	1021
454	851	1019
455	852	1016
456	853	1014
457	854	1011
458	856	1009
459	858	1007
460	861	1007
461	863	1005
462	864	1002
463	865	1000
464	867	997
465	868	994
466	870	992
467	872	991
468	875	991
469	877	989
470	878	986
471	879	984
472	881	981
473	882	979
474	884	977
475	886	975
476	889	974
477	890	972
478	892	970
479	893	968
480	894	965
481	896	963
482	897	960
483	900	959
484	903	959
485	904	956
486	906	954
487	907	951
488	908	949
489	909	946
490	911	944
491	912	942
492	915	941
493	918	940
494	919	938
495	920	935
496	921	933
497	923	930
498	924	928
499	926	926
500	928	924
501	931	924
502	932	921
503	934	919
504	935	916
505	936	914
506	938	912
507	939	909
508	941	907
509	944	907
510	945	905
511	947	902
512	948	900
513	949	898
514	951	895
515	953	893
516	954	891
517	957	890
518	959	888
519	960	886
520	961	884
521	963	881
522	964	879
523	966	877
524	967	875
525	968	873
526	972	872
527	974	870
528	975	868
529	977	866
530	978	864
531	979	862
532	981	859
533	982	857
534	985	856
535	988	855
536	989	853
537	990	850
538	991	848
539	993	846
540	994	844
541	995	841
542	998	839
543	1001	839
544	1002	837
545	1004	834
546	1005	832
547	1007	830
548	1008	828
549	1009	826
550	1010	823
551	1013	822
552	1016	821
553	1017	819
554	1018	816
555	1020	814
556	1021	812
557	1023	810
558	1024	808
559	1026	806
560	1030	806
561	1031	804
562	1033	801
563	1034	799
564	1036	797
565	1037	795
566	1038	793
567	1048	797
568	1049	795
569	1051	792
570	1052	790
571	1053	788
572	1054	785
573	1056	783
574	1058	782
575	1059	780
576	1061	777
577	1062	775
578	1063	773
579	1065	771
580	1066	769
581	1067	766
582	1069	764
583	1072	764
584	1074	762
585	1075	759
586	1077	757
587	1079	756
588	1080	754
589	1081	751
590	1085	751
591	1087	749
592	1088	747
593	1089	744
594	1090	742
595	1092	740
596	1093	738
597	1094	735
598	1095	733
599	1098	732
600	1101	730
601	1102	728
602	1103	726
603	1104	724
604	1106	722
605	1107	720
606	1109	718
607	1110	716
608	1114	715
609	1116	713
610	1117	711
611	1118	709
612	1119	706
613	1120	704
614	1121	702
615	1123	700
616	1125	698
617	1128	697
618	1129	695
619	1130	693
620	1132	691
621	1133	688
622	1134	686
623	1135	684
624	1136	682
625	1140	681
626	1142	679
627	1143	677
628	1145	675
629	1146	673
630	1147	671
631	1148	668
632	1149	666
633	1151	664
634	1154	663
635	1156	661
636	1157	659
637	1159	657
638	1160	655
639	1161	653
640	1162	651
641	1164	649
642	1165	647
643	1168	645
644	1171	644
645	1172	642
646	1174	640
647	1175	638
648	1176	636
649	1178	634
650	1179	632
651	1182	631
652	1185	629
653	1186	627
654	1187	625
655	1188	623
656	1190	621
657	1191	619
658	1193	617
659	1195	615
660	1198	614
661	1199	612
662	1200	610
663	1202	608
664	1203	606
665	1204	604
666	1206	602
667	1207	600
668	1210	598
669	1212	597
670	1214	595
671	1215	593
672	1217	591
673	1218	589
674	1220	587
675	1221	585
676	1224	584
677	1227	582
678	1228	580
679	1229	578
680	1230	576
681	1232	574
682	1233	572
683	1234	570
684	1236	568
685	1238	567
686	1241	565
687	1242	563
688	1243	561
689	1245	559
690	1246	557
691	1247	555
692	1249	553
693	1250	551
694	1254	550
695	1256	548
696	1257	546
697	1258	544
698	1259	542
699	1261	540
700	1262	538
701	1263	536
702	1265	534
703	1268	533
704	1270	531
705	1271	529
706	1272	527
707	1273	525
708	1274	523
709	1276	521
710	1277	519
711	1279	517
712	1282	516
713	1283	514
714	1285	512
715	1286	510
716	1287	508
717	1289	506
718	1290	504
719	1291	502
720	1293	500
721	1296	499
722	1298	497
723	1299	495
724	1300	493
725	1301	491
726	1303	489
727	1304	487
728	1305	485
729	1308	483
730	1312	482
731	1313	480
732	1314	478
733	1315	476
734	1317	474
735	1318	473
736	1319	471
737	1322	469
738	1324	467
739	1326	465
740	1327	463
741	1328	461
742	1363	471
743	1365	469
744	1367	467
745	1376	468
746	1378	466
747	1379	464
748	1380	462
749	1381	460
750	1385	459
751	1387	457
752	1388	455
753	1389	453
754	1390	451
755	1392	449
756	1393	447
757	1394	445
758	1396	443
759	1400	442
760	1401	440
761	1403	438
762	1404	436
763	1405	434
764	1407	432
765	1408	430
766	1409	428
767	1412	426
768	1415	425
769	1416	423
770	1417	421
771	1419	419
772	1420	417
773	1421	415
774	1423	413
775	1424	411
776	1427	409
777	1438	410
778	1439	408
779	1442	406
780	1445	405
781	1446	403
782	1447	401
783	1449	399
784	1450	397
785	1451	395
786	1453	393
787	1455	391
788	1458	389
789	1459	388
790	1460	386
791	1461	383
792	1463	382
793	1464	380
794	1466	378
795	1467	376
796	1470	374
797	1472	372
798	1473	370
799	1474	368
800	1476	366
801	1477	364
802	1478	362
803	1479	360
804	1480	358
805	1483	357
806	1486	355
807	1487	353
808	1488	351
809	1490	349
810	1491	347
811	1492	345
812	1494	343
813	1495	341
814	1498	340
815	1500	338
816	1501	336
817	1502	334
818	1504	332
819	1505	330
820	1506	328
821	1508	326
822	1509	324
823	1512	323
824	1514	321
825	1515	319
826	1516	317
827	1518	315
828	1519	313
829	1521	311
830	1522	309
831	1525	308
832	1527	306
833	1529	304
834	1530	302
835	1531	300
836	1532	298
837	1534	296
838	1535	294
839	1536	292
840	1539	291
841	1542	289
842	1543	287
843	1544	285
844	1546	283
845	1547	281
846	1548	279
847	1550	277
848	1551	275
849	1554	274
850	1555	272
851	1556	270
852	1558	268
853	1559	266
854	1560	264
855	1561	262
856	1562	260
857	1564	258
858	1569	257
859	1570	255
860	1571	253
861	1572	251
862	1574	249
863	1575	247
864	1576	246
865	1577	244
866	1579	242
867	1582	240
868	1583	238
869	1584	236
870	1586	234
871	1587	233
872	1589	231
873	1590	229
874	1593	227
875	1596	225
876	1597	224
877	1598	222
878	1599	220
879	1601	218
880	1602	216
881	1603	214
882	1604	212
883	1607	210
884	1610	209
885	1611	207
886	1612	205
887	1614	203
888	1615	201
889	1616	199
890	1618	197
891	1620	196
892	1623	194
893	1625	192
894	1626	190
895	1627	188
896	1628	186
897	1629	185
898	1631	183
899	1632	181
900	1634	179
901	1638	177
902	1639	176
903	1640	174
904	1642	172
905	1643	170
906	1644	168
907	1645	166
908	1647	164
909	1649	163
910	1652	161
911	1653	159
912	1654	157
913	1656	155
914	1657	153
915	1659	152
916	1660	150
917	1663	148
918	1666	146
919	1668	145
920	1669	143
921	1670	141
922	1672	139
923	1673	137
924	1674	135
925	1677	134
926	1680	132
927	1681	130
928	1682	128
929	1683	126
930	1685	124
931	1686	123
932	1687	121
933	1688	119
934	1692	117
935	1694	115
936	1695	114
937	1697	112
938	1698	110
939	1699	108
940	1701	106
941	1702	104
942	1703	102
943	1706	101
944	1708	99
945	1710	97
946	1711	95
947	1712	93
948	1714	92
949	1715	90
950	1718	88
951	1723	86
952	1724	85
953	1725	83
954	1726	81
955	1728	79
956	1729	77
957	1732	75
958	1735	74
959	1737	72
960	1738	70
961	1739	68
962	1740	66
963	1742	65
964	1743	63
965	1746	61
966	1748	59
967	1750	57
968	1751	56
969	1752	54
970	1753	52
971	1754	50
972	1755	48
973	1757	46
974	1760	45
975	1762	43
976	1764	41
977	1765	39
978	1766	37
979	1767	36
980	1768	34
981	1770	32
982	1771	30
983	1776	28
984	1777	27
985	1778	25
986	1780	23
987	1781	21
988	1782	19
989	1783	18
990	1784	16
991	1788	14
992	1790	12
993	1792	10
994	1793	9
995	1794	7
996	1795	5
997	1797	3
998	1798	1
999	1803	0
